bin,predicted_mean,actual_rate,n
0,0.06709841662129759,0.06358974358974359,9750
1,0.14033738294726888,0.1415362731152205,8436
2,0.23105599231922658,0.23167848699763594,1269
3,0.34386324817971486,0.36160714285714285,224
4,0.4419267607181276,0.6022727272727273,88
5,0.517490096918021,0.3333333333333333,6
