Feature,FP_mean,FN_mean,TP_mean
time_in_hospital,0.3149739959549263,-0.03033980582524272,0.27235915492957746
num_medications,0.2603727246460561,-0.002912621359223295,0.26788732394366194
number_diagnoses,0.030073196571318503,-0.2787216828478964,-0.027582159624413155
