group,n,selection_rate,actual_readmit_rate,recall
gender=Female,10726,0.3171732239418236,0.11495431661383554,0.5433901054339011
gender=Male,9047,0.3251906709406433,0.11174975129877307,0.5311572700296736
race=AfricanAmerican,3697,0.3275628888287801,0.11144170949418447,0.5533980582524272
race=Asian,116,0.27586206896551724,0.08620689655172414,0.5
race=Caucasian,15260,0.31939711664482306,0.11389252948885976,0.5327963176064442
race=Hispanic,398,0.3241206030150754,0.12814070351758794,0.5490196078431373
race=Other,302,0.32450331125827814,0.10927152317880795,0.6060606060606061
